SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD525,24040763,1867.0,0.0,0.0,25.0,1842.0,1842.0,503.0,3B-3,1842.0,0,,2025-02
FWD530,23121260,3221.3,0.0,0.0,75.0,3146.3,3146.3,709.0,3A-2,3146.3,0,,2025-02
FWD532,24102262,3596.6,0.0,0.0,-450.0,4046.6,4046.6,958.0,4C-2,4046.6,0,,2025-02
FWD550,22120160,1567.75,0.0,0.0,125.0,1442.75,1442.75,0.0,4B-4,1442.75,0,,2025-02
FWD550K,21071060,698.9,0.0,0.0,0.0,698.9,698.9,,2B-1,698.9,0,,2025-02
FWD552,19052060,1700.0,0.0,0.0,0.0,1700.0,1700.0,,4C-4,1700.0,0,,2025-02
FWD534,24080361,3311.0,0.0,0.0,25.0,3286.0,3286.0,500.0,4B-3,3286.0,0,,2025-02
FWD535,21120862,1044.3,0.0,0.0,0.0,1044.3,1044.3,342.0,4A-3,1044.3,0,,2025-02
FWD5516,24102960,1764.85,0.0,0.0,1.0,1763.85,1763.85,,4A-3,1763.85,0,,2025-02
FWD5518,24091860,2893.95,0.0,0.0,1477.0,1416.95,1416.95,892.0,3A-2,1416.95,0,,2025-02
FWD5519,21120861,1075.0,0.0,0.0,20.0,1055.0,1055.0,282.0,3B-5,1055.0,0,,2025-02
FWD5727,19032463,300.0,0.0,0.0,0.0,300.0,300.0,,4E-4,300.0,0,,2025-02
FWD400B,24110462,333.1,0.0,0.0,125.0,208.1,208.1,200.0,4B-1,208.1,0,,2025-02
FWD400C,19081861,253.45,0.0,0.0,0.0,253.45,253.45,0.0,2C-4,253.45,0,,2025-02
FWD408,21062360,1951.55,0.0,0.0,25.0,1926.55,1926.55,500.0,2D-2,1926.55,0,,2025-02
FWD408C,22062960,250.0,0.0,10.0,0.0,240.0,240.0,,3B-5,240.0,0,,2025-02
FWD410,24120260,3727.4,0.0,0.0,300.0,3427.4,3427.4,500.0,3A-1,3427.4,0,,2025-02
FWD411,23112860,550.0,0.0,0.0,28.0,522.0,522.0,500.0,4D-3,522.0,0,,2025-02
FWD415Y,20040761,281.75,0.0,0.0,15.0,266.75,266.75,0.0,3A-1,266.75,0,15kg装,2025-02
FWD415Y,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,~,2025-02
FWD430,21032761,1658.6,0.0,0.0,0.0,1658.6,1658.6,334.0,3A-1,1658.6,0,,2025-02
FWD416,24041560,716.5,0.0,0.0,26.0,690.5,690.5,0.0,2E-1,690.5,0,,2025-02
FWD416C,25011061,1220.0,0.0,0.0,200.0,1020.0,1020.0,0.0,2F-4,1020.0,0,,2025-02
FWD417,24122360,1457.0,0.0,50.0,125.0,1282.0,1282.0,0.0,4D-3,1282.0,0,,2025-02
FWD418B,23120560,1040.68,0.0,0.0,26.5,1014.18,1014.18,289.0,4D-4,1014.18,0,,2025-02
FWD418C,21010560,71.7,0.0,0.0,50.0,21.7,21.7,0.0,D-2,21.7,0,,2025-02
FWD419B,24091960,1205.9,0.0,0.0,281.8,924.1,924.1,500.0,4B-3,924.1,0,,2025-02
FWD419C,24080362,531.0,0.0,0.0,100.0,431.0,431.0,0.0,3B-4,431.0,0,,2025-02
FWD419Y,21010960,238.3,0.0,0.0,0.0,238.3,238.3,0.0,2C-1,238.3,0,20kg装,2025-02
FWD421,24120961,2400.0,0.0,0.0,126.0,2274.0,2274.0,500.0,4B-5,2274.0,0,,2025-02
FWD421Y,24110861,271.0,0.0,0.0,88.0,183.0,183.0,0.0,2C-4,183.0,0,20kg装,2025-02
FWD421D,24112860,450.0,0.0,0.0,125.0,325.0,325.0,0.0,4B-1,325.0,0,,2025-02
FWD421C,24030662,400.0,0.0,0.0,0.0,400.0,400.0,0.0,4B-1,400.0,0,,2025-02
FWD422B,18032760,79.2,0.0,0.0,0.0,79.2,79.2,,4D-1,79.2,0,,2025-02
FWD424,21080560,2540.0,0.0,0.0,0.0,2540.0,2540.0,0.0,4B-3,2540.0,0,,2025-02
FWD425,24111160,3345.0,0.0,0.0,292.0,3053.0,3053.0,500.0,4A-2,3053.0,0,,2025-02
FWD425C,25010360,1379.0,0.0,0.0,0.0,1379.0,1379.0,0.0,4A-3,1379.0,0,,2025-02
FWD425Y,2412256120,73.0,0.0,0.0,0.0,73.0,73.0,0.0,2E-2,73.0,0,20kg装,2025-02
FWD425B,18061860,750.0,0.0,0.0,35.0,715.0,715.0,200.0,4C-3,715.0,0,,2025-02
FWD426C,19101061,429.15,0.0,0.0,0.0,429.15,429.15,,2E-1,429.15,0,,2025-02
FWD427,24090561,3910.0,0.0,150.0,1169.0,2591.0,2591.0,713.0,2B-3,2591.0,0,,2025-02
FWD428B,10081361,448.9,0.0,0.0,0.0,448.9,448.9,,2E-2,448.9,0,,2025-02
FWD432,22041160,25.0,0.0,0.0,0.0,25.0,25.0,,3A-1,25.0,0,,2025-02
FWD435,23080761,1501.7,0.0,0.0,0.0,1501.7,1501.7,306.0,4B-2,1501.7,0,,2025-02
FWD435B,23090360,100.0,0.0,0.0,50.0,50.0,2559.0,430.0,3B-5,50.0,0,,2025-02
FWD435B,24110263,2510.0,0.0,0.0,1.0,2509.0,,,4C-1,2509.0,0,,2025-02
FWD435C,19121861,289.1,0.0,0.0,0.0,289.1,289.1,0.0,3B-1,289.1,0,,2025-02
FWD435Y,19122663,51.38,0.0,0.0,0.0,51.38,51.38,0.0,2F-4,51.38,0,15kg装,2025-02
FWD439,24122461,384.0,0.0,0.0,100.0,284.0,284.0,,2D-2,284.0,0,,2025-02
FWD401,24110461,3402.0,0.0,0.0,249.0,3153.0,3153.0,500.0,4A-1,3153.0,0,,2025-02
FWD402,2502216020,0.0,3983.0,0.0,0.0,3983.0,3983.0,500.0,4C-3,3983.0,0,,2025-02
FWD402,2405286120,393.3,0.0,13.3,380.0,0.0,,,,0.0,0,,2025-02
FWD4002,24051663,242.0,0.0,0.0,242.0,0.0,4095.0,1012.0,,0.0,0,15kg装,2025-02
FWD4002,24111862,4095.0,0.0,0.0,0.0,4095.0,,,4A-1,4095.0,0,,2025-02
FWD4002T,24070561,2287.5,0.0,0.0,180.0,2107.5,2107.5,1000.0,2D-1,2107.5,0,15kg装2个零头,2025-02
FWD403,24112760,1027.0,0.0,0.0,150.0,877.0,877.0,200.0,4A-3,877.0,0,,2025-02
FWD405B,19070562,203.45,0.0,0.0,0.0,203.45,203.45,100.0,4B-1,203.45,0,,2025-02
FWD407,23101360,675.55,0.0,0.0,75.0,600.55,600.55,325.0,4C-1,600.55,0,,2025-02
FWD407A,20072162,24.25,0.0,0.0,0.0,24.25,24.25,,D-2,24.25,0,,2025-02
FWD462,24052962,94.4,0.0,9.4,85.0,0.0,0.0,,,0.0,0,,2025-02
FWD466A,24121761,650.0,0.0,0.0,100.0,550.0,550.0,,4A-3,550.0,0,,2025-02
FWD468,25021460,0.0,441.0,0.0,0.0,441.0,441.0,,2D-1,441.0,0,,2025-02
FWD464,18090660,21.73,0.0,0.0,0.0,21.73,249.63,,D-2,21.73,0,,2025-02
FWD464,19090565,227.9,0.0,0.0,0.0,227.9,,,2C-1,227.9,0,,2025-02
FWD471,21052862,98.6,0.0,0.0,0.0,98.6,98.6,,4D-2,98.6,0,,2025-02
FWD475,25011060,454.0,0.0,0.0,150.0,304.0,304.0,,4C-3,304.0,0,,2025-02
FWD476,17010660,1679.2,0.0,0.0,0.0,1679.2,1679.2,,4E-2,1679.2,0,,2025-02
FWD478,23102460,114.9,0.0,0.0,10.0,104.9,104.9,,2C-3,104.9,0,,2025-02
FWD479,25011561,600.0,65.0,0.0,0.0,665.0,665.0,,3B-5,665.0,0,,2025-02
FWD480,15122661,24.65,0.0,0.0,0.0,24.65,24.65,,D-2,24.65,0,,2025-02
