sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
FWD5884X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5890ST,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5890X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5891A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5891B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5891ST,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5891X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5892B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5892X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5893B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5893ST,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5893X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5894B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5894X,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5895B,,0,,缺品类 / 缺成本 / 缺销售单价
FWD5895ST,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6001WR,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6002C,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6002SW,,67.5,90,缺品类
FWD6005TWR,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6006A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6018TS,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6050,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6100,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6153A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6205G,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6216,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6303W,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6500AH,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6520A,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6550,,0,,缺品类 / 缺成本 / 缺销售单价
FWD6550A,,0,,缺品类 / 缺成本 / 缺销售单价
